COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,OBSERVER ID,code,group,YEAR
Indigo Bunting,38.527763,-121.80042,2018-07-26,obsr131186,4.0,PASSERIFORMES,2018
Chestnut-sided Warbler,38.525432,-121.790527,2018-07-31,obsr102568,4.0,PASSERIFORMES,2018
Pectoral Sandpiper,38.551789,-121.6208018,2018-08-16,obsr131624,4.0,CHARADRIIFORMES,2018
Chimney Swift,38.5271852,-121.8034887,2018-08-19,obsr131624,5.0,CAPRIMULGIFORMES,2018
Yellow-billed Cuckoo,38.7618974,-121.6576195,2018-08-20,obsr946849,4.0,CUCULIFORMES,2018
Summer Tanager,38.5271852,-121.8034887,2018-08-23,obsr946849,4.0,PASSERIFORMES,2018
Green-tailed Towhee,38.4959689,-121.6941027,2018-08-25,obsr131624,4.0,PASSERIFORMES,2018
Brewer's Sparrow,38.551789,-121.6208018,2018-09-03,obsr134854,4.0,PASSERIFORMES,2018
Eastern Kingbird,38.5271852,-121.8034887,2018-09-03,obsr672779,5.0,PASSERIFORMES,2018
Townsend's Solitaire,38.551789,-121.6208018,2018-09-09,obsr102568,4.0,PASSERIFORMES,2018
American Redstart,38.5361226,-121.5233669,2018-09-13,obsr672779,4.0,PASSERIFORMES,2018
Tennessee Warbler,38.525432,-121.790527,2018-09-21,obsr946849,4.0,PASSERIFORMES,2018
Blackpoll Warbler,38.525432,-121.790527,2018-09-21,obsr946849,4.0,PASSERIFORMES,2018
Lapland Longspur,38.551789,-121.6208018,2018-10-14,obsr38567,4.0,PASSERIFORMES,2018
Costa's Hummingbird,38.5362617,-121.7259407,2018-10-16,obsr38567,4.0,CAPRIMULGIFORMES,2018
American Golden-Plover,38.551789,-121.6208018,2018-10-20,obsr893864,4.0,CHARADRIIFORMES,2018
Vermilion Flycatcher,38.5930928,-121.6697216,2018-10-20,obsr164607,5.0,PASSERIFORMES,2018
Least Flycatcher,38.6828968,-121.8842554,2018-10-21,obsr130910,4.0,PASSERIFORMES,2018
Northern Shrike,38.6477462,-121.6889048,2018-11-15,obsr475648,4.0,PASSERIFORMES,2018
Lesser Black-backed Gull,38.5904429,-121.6820168,2018-12-26,obsr199985,4.0,CHARADRIIFORMES,2018
Mountain Plover,38.9114333,-121.8411226,2018-12-30,obsr340052,4.0,CHARADRIIFORMES,2018
Mountain Plover,38.915808,-121.843472,2019-01-01,obsr140322,4.0,CHARADRIIFORMES,2019
Lesser Black-backed Gull,38.5904429,-121.6820168,2019-01-01,obsr318705,4.0,CHARADRIIFORMES,2019
Northern Shrike,38.6657506,-121.7174863,2019-01-02,obsr946849,4.0,PASSERIFORMES,2019
Grasshopper Sparrow,38.5078612,-122.0180976,2019-01-02,obsr551844,4.0,PASSERIFORMES,2019
Rough-legged Hawk,38.7621938,-121.9484492,2019-01-04,obsr551844,4.0,ACCIPITRIFORMES,2019
Horned Grebe,38.6657506,-121.7174863,2019-01-08,obsr195829,4.0,PODICIPEDIFORMES,2019
Steller's Jay,38.9063464,-122.3107481,2019-01-12,obsr352879,4.0,PASSERIFORMES,2019
Trumpeter Swan,38.618775,-121.7009125,2019-01-12,obsr33163,5.0,ANSERIFORMES,2019
Plumbeous Vireo,38.6654074,-121.7334509,2019-01-17,obsr592660,4.0,PASSERIFORMES,2019
Tennessee Warbler,38.5713205,-121.7611313,2019-01-25,obsr131624,4.0,PASSERIFORMES,2019
Costa's Hummingbird,38.5397066,-121.7009353,2019-02-07,obsr416299,4.0,CAPRIMULGIFORMES,2019
Palm Warbler,38.563864,-121.730754,2019-02-12,obsr672779,5.0,PASSERIFORMES,2019
Garganey,38.5416454,-121.578548,2019-02-23,obsr592125,5.0,ANSERIFORMES,2019
Red-throated Loon,38.5503757,-121.579683,2019-02-27,obsr199985,5.0,GAVIIFORMES,2019
Harris's Sparrow,38.670644,-121.7574781,2019-03-09,obsr189581,4.0,PASSERIFORMES,2019
Common Loon,38.4945782,-122.0090103,2019-03-14,obsr672779,4.0,GAVIIFORMES,2019
Franklin's Gull,38.5416454,-121.578548,2019-03-16,obsr88222,4.0,CHARADRIIFORMES,2019
Lawrence's Goldfinch,38.5271852,-121.8034887,2019-03-26,obsr946849,4.0,PASSERIFORMES,2019
Ruff,38.5574676,-121.6360517,2019-04-21,obsr235779,4.0,CHARADRIIFORMES,2019
Solitary Sandpiper,38.5658567,-121.6385221,2019-04-21,obsr235779,4.0,CHARADRIIFORMES,2019
Gray Flycatcher,38.525432,-121.790527,2019-04-25,obsr182152,4.0,PASSERIFORMES,2019
Calliope Hummingbird,38.3776439,-121.6026565,2019-04-28,obsr1846910,4.0,CAPRIMULGIFORMES,2019
Ruddy Turnstone,38.5930928,-121.6697216,2019-05-04,obsr247208,4.0,CHARADRIIFORMES,2019
Black Turnstone,38.5930928,-121.6697216,2019-05-04,obsr2834030,5.0,CHARADRIIFORMES,2019
Snowy Plover,38.5930928,-121.6697216,2019-05-05,obsr865872,4.0,CHARADRIIFORMES,2019
Stilt Sandpiper,38.5930928,-121.6697216,2019-05-06,obsr131624,4.0,CHARADRIIFORMES,2019
Summer Tanager,38.5575458,-121.7829752,2019-05-08,obsr107990,4.0,PASSERIFORMES,2019
Northern Parula,38.4959689,-121.6941027,2019-05-17,obsr678154,4.0,PASSERIFORMES,2019
Glossy Ibis,38.6657506,-121.7174863,2019-05-19,obsr865872,5.0,PELECANIFORMES,2019
Green-tailed Towhee,38.4959689,-121.6941027,2019-05-28,obsr672779,4.0,PASSERIFORMES,2019
Red Knot,38.6614037,-121.7171761,2019-07-21,obsr182152,4.0,CHARADRIIFORMES,2019
Black-and-white Warbler,38.6022493,-121.5788269,2019-08-10,obsr678154,4.0,PASSERIFORMES,2019
Sanderling,38.541721,-121.9916725,2019-09-09,obsr946849,4.0,CHARADRIIFORMES,2019
Pectoral Sandpiper,38.551789,-121.6208018,2019-09-11,obsr318705,4.0,CHARADRIIFORMES,2019
Evening Grosbeak,38.5439598,-121.7097745,2019-09-22,obsr38567,4.0,PASSERIFORMES,2019
Chestnut-backed Chickadee,38.514269,-122.073003,2019-10-01,obsr669842,4.0,PASSERIFORMES,2019
Northern Saw-whet Owl,38.5606499,-121.7164564,2019-10-17,obsr1309550,4.0,STRIGIFORMES,2019
Swamp Sparrow,38.551789,-121.6208018,2019-11-03,obsr1141619,4.0,PASSERIFORMES,2019
Lapland Longspur,38.5383192,-121.6948912,2019-11-10,obsr224810,4.0,PASSERIFORMES,2019
Pygmy Nuthatch,38.5857823,-121.5275647,2019-11-23,obsr293781,5.0,PASSERIFORMES,2019
Swamp Sparrow,38.551789,-121.6208018,2020-01-01,obsr357866,4.0,PASSERIFORMES,2020
Costa's Hummingbird,38.5397066,-121.7009353,2020-01-01,obsr416299,4.0,CAPRIMULGIFORMES,2020
Lesser Black-backed Gull,38.618775,-121.7009125,2020-01-01,obsr357866,4.0,CHARADRIIFORMES,2020
Garganey,38.5416454,-121.578548,2020-01-03,obsr318705,5.0,ANSERIFORMES,2020
Rough-legged Hawk,38.824607,-122.066613,2020-01-04,obsr520215,4.0,ACCIPITRIFORMES,2020
Plumbeous Vireo,38.518279,-121.989344,2020-01-06,obsr865872,4.0,PASSERIFORMES,2020
Horned Grebe,38.562462,-121.553936,2020-01-11,obsr113052,4.0,PODICIPEDIFORMES,2020
Steller's Jay,38.8904984,-122.3169923,2020-01-19,obsr318705,4.0,PASSERIFORMES,2020
Red-naped Sapsucker,38.538515,-121.868514,2020-01-24,obsr336394,4.0,PICIFORMES,2020
Evening Grosbeak,38.8227785,-122.1908782,2020-01-31,obsr946849,4.0,PASSERIFORMES,2020
Slaty-backed Gull,38.6112691,-121.692545,2020-01-31,obsr336226,5.0,CHARADRIIFORMES,2020
Lark Bunting,38.759235,-122.026137,2020-02-01,obsr1141619,4.0,PASSERIFORMES,2020
Lawrence's Goldfinch,38.757024,-122.025835,2020-02-03,obsr447908,4.0,PASSERIFORMES,2020
Harris's Sparrow,38.671335,-121.757995,2020-02-14,obsr1141619,4.0,PASSERIFORMES,2020
Ruff,38.551789,-121.6208018,2020-02-27,obsr311906,4.0,CHARADRIIFORMES,2020
Least Flycatcher,38.5713205,-121.7611313,2020-03-05,obsr131624,4.0,PASSERIFORMES,2020
Pacific Golden-Plover,38.562946,-121.638051,2020-03-13,obsr131300,4.0,CHARADRIIFORMES,2020
Calliope Hummingbird,38.541803,-121.703236,2020-04-03,obsr421460,4.0,CAPRIMULGIFORMES,2020
Gray Flycatcher,38.526997,-121.803209,2020-04-05,obsr969976,4.0,PASSERIFORMES,2020
Chestnut-backed Chickadee,38.5350066,-121.7525844,2020-04-06,obsr14968,4.0,PASSERIFORMES,2020
Grasshopper Sparrow,38.453868,-121.675222,2020-04-06,obsr1141619,4.0,PASSERIFORMES,2020
Solitary Sandpiper,38.551789,-121.6208018,2020-04-08,obsr1309550,4.0,CHARADRIIFORMES,2020
Stilt Sandpiper,38.6657506,-121.7174863,2020-04-14,obsr1309550,4.0,CHARADRIIFORMES,2020
Common Loon,38.5435045,-121.7052751,2020-04-14,obsr38567,4.0,GAVIIFORMES,2020
Sanderling,38.5602918,-121.628198,2020-04-22,obsr1439796,4.0,CHARADRIIFORMES,2020
Red-breasted Merganser,38.6657506,-121.7174863,2020-04-26,obsr199985,4.0,ANSERIFORMES,2020
Brewer's Sparrow,38.4795151,-121.5519791,2020-04-30,obsr189581,4.0,PASSERIFORMES,2020
Tennessee Warbler,38.551789,-121.6208018,2020-05-09,obsr352414,4.0,PASSERIFORMES,2020
Red Phalarope,38.5836668,-121.6371918,2020-05-18,obsr318705,4.0,CHARADRIIFORMES,2020
Indigo Bunting,38.551789,-121.6208018,2020-06-10,obsr531324,4.0,PASSERIFORMES,2020
Allen's Hummingbird,38.5204199,-121.9676399,2020-06-19,obsr946849,4.0,CAPRIMULGIFORMES,2020
Snowy Plover,38.6657506,-121.7174863,2020-07-09,obsr690451,4.0,CHARADRIIFORMES,2020
Green-tailed Towhee,38.5393349,-121.6991626,2020-08-26,obsr140322,4.0,PASSERIFORMES,2020
Pectoral Sandpiper,38.551789,-121.6208018,2020-09-04,obsr956557,4.0,CHARADRIIFORMES,2020
Black-and-white Warbler,38.4795151,-121.5519791,2020-09-04,obsr496984,4.0,PASSERIFORMES,2020
Northern Waterthrush,38.5313112,-121.8348147,2020-09-09,obsr14968,4.0,PASSERIFORMES,2020
Common Tern,38.6657506,-121.7174863,2020-09-12,obsr592732,4.0,CHARADRIIFORMES,2020
Northern Parula,38.5271852,-121.8034887,2020-09-25,obsr865872,4.0,PASSERIFORMES,2020
Gray Catbird,38.5164914,-122.0607769,2020-09-27,obsr131624,5.0,PASSERIFORMES,2020
Surf Scoter,38.6614037,-121.7171761,2020-10-18,obsr690451,4.0,ANSERIFORMES,2020
Vermilion Flycatcher,38.6657506,-121.7174863,2020-10-31,obsr153397,5.0,PASSERIFORMES,2020
Mountain Plover,38.915808,-121.843472,2020-11-01,obsr131624,4.0,CHARADRIIFORMES,2020
American Golden-Plover,38.6657506,-121.7174863,2020-11-28,obsr88799,4.0,CHARADRIIFORMES,2020
Black-throated Sparrow,38.49745,-122.0349848,2020-11-30,obsr678154,5.0,PASSERIFORMES,2020
Cassin's Finch,38.5601377,-121.727801,2020-12-03,obsr336226,4.0,PASSERIFORMES,2020
Sage Thrasher,38.4031583,-121.6144674,2020-12-22,obsr1846910,4.0,PASSERIFORMES,2020
Mountain Plover,38.915808,-121.843472,2021-01-01,obsr60422,4.0,CHARADRIIFORMES,2021
Rough-legged Hawk,38.809834,-121.939813,2021-01-04,obsr1016051,4.0,ACCIPITRIFORMES,2021
Steller's Jay,38.5148499,-122.0782516,2021-01-09,obsr318705,4.0,PASSERIFORMES,2021
Lesser Black-backed Gull,38.5904429,-121.6820168,2021-01-22,obsr318705,4.0,CHARADRIIFORMES,2021
Cassin's Finch,38.8904984,-122.3169923,2021-01-23,obsr1141619,4.0,PASSERIFORMES,2021
Eastern Phoebe,38.6828968,-121.8842554,2021-01-24,obsr130910,4.0,PASSERIFORMES,2021
Red-necked Grebe,38.562462,-121.553936,2021-01-27,obsr113052,4.0,PODICIPEDIFORMES,2021
Sage Thrasher,38.5416454,-121.578548,2021-02-06,obsr2019558,4.0,PASSERIFORMES,2021
Red-naped Sapsucker,38.5271852,-121.8034887,2021-02-14,obsr865872,4.0,PICIFORMES,2021
Swamp Sparrow,38.6895296,-121.8726683,2021-02-15,obsr227411,4.0,PASSERIFORMES,2021
Pacific Golden-Plover,38.551789,-121.6208018,2021-02-16,obsr153397,4.0,CHARADRIIFORMES,2021
Harris's Sparrow,38.527763,-121.80042,2021-02-22,obsr131186,4.0,PASSERIFORMES,2021
Horned Grebe,38.6657506,-121.7174863,2021-02-22,obsr318705,4.0,PODICIPEDIFORMES,2021
Green-tailed Towhee,38.5529504,-121.7564698,2021-03-02,obsr34154,4.0,PASSERIFORMES,2021
Allen's Hummingbird,38.3776439,-121.6026565,2021-03-20,obsr1846910,4.0,CAPRIMULGIFORMES,2021
Lawrence's Goldfinch,38.5209068,-122.0323563,2021-03-20,obsr271107,4.0,PASSERIFORMES,2021
Solitary Sandpiper,38.551789,-121.6208018,2021-04-04,obsr153397,4.0,CHARADRIIFORMES,2021
Pectoral Sandpiper,38.5943842,-121.7126584,2021-04-19,obsr336226,4.0,CHARADRIIFORMES,2021
Gray Flycatcher,38.6886039,-121.8659091,2021-05-01,obsr130910,4.0,PASSERIFORMES,2021
Black-throated Sparrow,38.573358,-121.750389,2021-05-03,obsr1049525,5.0,PASSERIFORMES,2021
Sanderling,38.6657506,-121.7174863,2021-05-11,obsr592732,4.0,CHARADRIIFORMES,2021
Black Swift,38.5416454,-121.578548,2021-05-20,obsr496984,4.0,CAPRIMULGIFORMES,2021
Snowy Plover,38.551789,-121.6208018,2021-06-07,obsr318705,4.0,CHARADRIIFORMES,2021
Grasshopper Sparrow,38.4594026,-121.6607094,2021-06-15,obsr14968,4.0,PASSERIFORMES,2021
Franklin's Gull,38.6657506,-121.7174863,2021-08-07,obsr865872,4.0,CHARADRIIFORMES,2021
Red Phalarope,38.551789,-121.6208018,2021-08-08,obsr199985,4.0,CHARADRIIFORMES,2021
Ruddy Turnstone,38.41698,-121.630368,2021-08-31,obsr1309550,4.0,CHARADRIIFORMES,2021
Chestnut-sided Warbler,38.5271852,-121.8034887,2021-09-05,obsr276807,4.0,PASSERIFORMES,2021
Blackpoll Warbler,38.52341,-121.784443,2021-09-12,obsr969976,4.0,PASSERIFORMES,2021
Stilt Sandpiper,38.41698,-121.630368,2021-09-14,obsr1309550,4.0,CHARADRIIFORMES,2021
Tennessee Warbler,38.6615862,-121.6128512,2021-09-18,obsr318705,4.0,PASSERIFORMES,2021
Cassin's Kingbird,38.6123101,-121.7113495,2021-10-01,obsr865872,5.0,PASSERIFORMES,2021
Magnolia Warbler,38.8227785,-122.1908782,2021-10-06,obsr1175781,5.0,PASSERIFORMES,2021
Northern Waterthrush,38.5133629,-122.095626,2021-10-21,obsr865872,4.0,PASSERIFORMES,2021
Red-breasted Merganser,38.6614037,-121.7171761,2021-10-31,obsr286759,4.0,ANSERIFORMES,2021
Lapland Longspur,38.551789,-121.6208018,2021-11-05,obsr533479,4.0,PASSERIFORMES,2021
Swamp Sparrow,38.6828968,-121.8842554,2022-01-01,obsr678154,4.0,PASSERIFORMES,2022
Mountain Plover,38.915808,-121.843472,2022-01-02,obsr592732,4.0,CHARADRIIFORMES,2022
Rough-legged Hawk,38.618775,-121.7009125,2022-01-05,obsr2716043,4.0,ACCIPITRIFORMES,2022
Steller's Jay,38.5147209,-122.0852814,2022-01-05,obsr232808,4.0,PASSERIFORMES,2022
Horned Grebe,38.562462,-121.553936,2022-01-09,obsr420881,4.0,PODICIPEDIFORMES,2022
Grasshopper Sparrow,38.551789,-121.6208018,2022-01-11,obsr2083500,4.0,PASSERIFORMES,2022
Stilt Sandpiper,38.5483668,-121.6266346,2022-02-19,obsr31790,4.0,CHARADRIIFORMES,2022
Lawrence's Goldfinch,38.5713205,-121.7486858,2022-02-20,obsr865872,4.0,PASSERIFORMES,2022
Lesser Black-backed Gull,38.5934618,-121.6840553,2022-02-24,obsr533479,4.0,CHARADRIIFORMES,2022
Yellow-bellied Sapsucker,38.5427589,-121.7058716,2022-03-20,obsr1141619,4.0,PICIFORMES,2022
Allen's Hummingbird,38.3776439,-121.6026565,2022-03-22,obsr1846910,4.0,CAPRIMULGIFORMES,2022
Solitary Sandpiper,38.5483668,-121.6266346,2022-04-14,obsr34154,4.0,CHARADRIIFORMES,2022
Ruff,38.551789,-121.6208018,2022-04-17,obsr280451,4.0,CHARADRIIFORMES,2022
Gray Flycatcher,38.5189593,-121.6950417,2022-04-17,obsr194866,4.0,PASSERIFORMES,2022
Calliope Hummingbird,38.5149956,-121.9760762,2022-04-20,obsr14968,4.0,CAPRIMULGIFORMES,2022
Brewer's Sparrow,38.5175251,-121.6911685,2022-04-27,obsr426761,4.0,PASSERIFORMES,2022
Chestnut-sided Warbler,38.5175251,-121.6911685,2022-05-25,obsr678154,4.0,PASSERIFORMES,2022
Snowy Plover,38.6657506,-121.7174863,2022-06-25,obsr788582,4.0,CHARADRIIFORMES,2022
Franklin's Gull,38.551789,-121.6208018,2022-07-19,obsr1625278,4.0,CHARADRIIFORMES,2022
Ruddy Turnstone,38.6614037,-121.7171761,2022-08-04,obsr678154,4.0,CHARADRIIFORMES,2022
Northern Waterthrush,38.4795151,-121.5519791,2022-08-27,obsr164607,4.0,PASSERIFORMES,2022
Pectoral Sandpiper,38.551789,-121.6208018,2022-08-29,obsr420881,4.0,CHARADRIIFORMES,2022
Blackpoll Warbler,38.5408556,-121.577832,2022-08-30,obsr2507478,4.0,PASSERIFORMES,2022
Tennessee Warbler,38.525432,-121.790527,2022-08-30,obsr678154,4.0,PASSERIFORMES,2022
Green-tailed Towhee,38.4959689,-121.6941027,2022-09-13,obsr794894,4.0,PASSERIFORMES,2022
American Redstart,38.4795151,-121.5519791,2022-09-16,obsr496984,4.0,PASSERIFORMES,2022
Palm Warbler,38.551789,-121.6208018,2022-09-27,obsr318705,5.0,PASSERIFORMES,2022
Surf Scoter,38.6657506,-121.7174863,2022-10-06,obsr2195203,4.0,ANSERIFORMES,2022
Townsend's Solitaire,38.525432,-121.790527,2022-10-10,obsr427592,4.0,PASSERIFORMES,2022
Long-tailed Duck,38.6657506,-121.7174863,2022-10-16,obsr38567,5.0,ANSERIFORMES,2022
Winter Wren,38.4934698,-122.0283759,2022-11-16,obsr2047535,5.0,PASSERIFORMES,2022
Summer Tanager,38.5606499,-121.7164564,2022-12-06,obsr678154,4.0,PASSERIFORMES,2022
Tropical Kingbird,38.6112691,-121.692545,2022-12-16,obsr496984,5.0,PASSERIFORMES,2022
Mountain Plover,38.915808,-121.843472,2023-01-01,obsr794894,4.0,CHARADRIIFORMES,2023
Winter Wren,38.514269,-122.073003,2023-01-02,obsr199985,5.0,PASSERIFORMES,2023
Steller's Jay,38.514269,-122.073003,2023-01-02,obsr199985,4.0,PASSERIFORMES,2023
Summer Tanager,38.5606499,-121.7164564,2023-01-06,obsr678154,4.0,PASSERIFORMES,2023
Trumpeter Swan,38.6160201,-121.6984272,2023-01-06,obsr189581,5.0,ANSERIFORMES,2023
Yellow-bellied Sapsucker,38.6615862,-121.6128512,2023-01-07,obsr199985,4.0,PICIFORMES,2023
Horned Grebe,38.6657506,-121.7174863,2023-01-08,obsr1309550,4.0,PODICIPEDIFORMES,2023
Common Loon,38.602766,-121.5557197,2023-01-14,obsr1141619,4.0,GAVIIFORMES,2023
Townsend's Solitaire,38.656437,-121.79013,2023-01-14,obsr247208,4.0,PASSERIFORMES,2023
Evening Grosbeak,38.6863305,-121.7704761,2023-01-15,obsr130910,4.0,PASSERIFORMES,2023
Lawrence's Goldfinch,38.5724,-121.7474,2023-01-25,obsr355294,4.0,PASSERIFORMES,2023
Rough-legged Hawk,38.5900191,-121.7426777,2023-01-31,obsr548564,4.0,ACCIPITRIFORMES,2023
Swamp Sparrow,38.5416454,-121.578548,2023-02-04,obsr168441,4.0,PASSERIFORMES,2023
Lesser Black-backed Gull,38.5973164,-121.696584,2023-02-07,obsr865872,4.0,CHARADRIIFORMES,2023
Plumbeous Vireo,38.5416024,-121.7490587,2023-02-07,obsr788582,4.0,PASSERIFORMES,2023
Allen's Hummingbird,38.3776439,-121.6026565,2023-04-14,obsr1846910,4.0,CAPRIMULGIFORMES,2023
Gray Flycatcher,38.8904984,-122.3169923,2023-04-20,obsr3059200,4.0,PASSERIFORMES,2023
Solitary Sandpiper,38.5715889,-121.7528057,2023-04-26,obsr336226,4.0,CHARADRIIFORMES,2023
Calliope Hummingbird,38.3776439,-121.6026565,2023-04-28,obsr1846910,4.0,CAPRIMULGIFORMES,2023
Green-tailed Towhee,38.4795151,-121.5519791,2023-04-29,obsr152314,4.0,PASSERIFORMES,2023
Palm Warbler,38.8904984,-122.3169923,2023-05-07,obsr336226,5.0,PASSERIFORMES,2023
Grasshopper Sparrow,38.386746,-121.6813087,2023-05-21,obsr865872,4.0,PASSERIFORMES,2023
Northern Saw-whet Owl,38.5443265,-121.7157859,2023-05-22,obsr3039863,4.0,STRIGIFORMES,2023
American Redstart,38.5080795,-122.0429242,2023-06-13,obsr794894,4.0,PASSERIFORMES,2023
Glossy Ibis,38.5836668,-121.6371918,2023-07-04,obsr1404235,5.0,PELECANIFORMES,2023
Pectoral Sandpiper,38.5973164,-121.696584,2023-07-31,obsr1141619,4.0,CHARADRIIFORMES,2023
Red Knot,38.6657506,-121.7174863,2023-08-03,obsr152314,4.0,CHARADRIIFORMES,2023
Northern Waterthrush,38.5148499,-122.0782516,2023-08-15,obsr420881,4.0,PASSERIFORMES,2023
Hudsonian Godwit,38.5973164,-121.696584,2023-08-18,obsr420881,5.0,CHARADRIIFORMES,2023
Common Tern,38.6657506,-121.7174863,2023-08-21,obsr34154,4.0,CHARADRIIFORMES,2023
Northern Parula,38.527763,-121.80042,2023-08-26,obsr199985,4.0,PASSERIFORMES,2023
Red-necked Stint,38.551789,-121.6208018,2023-08-29,obsr865872,5.0,CHARADRIIFORMES,2023
Stilt Sandpiper,38.5973164,-121.696584,2023-09-07,obsr2195203,4.0,CHARADRIIFORMES,2023
Lark Bunting,38.551789,-121.6208018,2023-09-08,obsr3409556,4.0,PASSERIFORMES,2023
Brewer's Sparrow,38.5970842,-121.5759945,2023-09-14,obsr355294,4.0,PASSERIFORMES,2023
Chestnut-backed Chickadee,38.912207,-122.2542286,2023-09-23,obsr1175781,4.0,PASSERIFORMES,2023
American Golden-Plover,38.5973164,-121.696584,2023-09-23,obsr318705,4.0,CHARADRIIFORMES,2023
Orchard Oriole,38.5309118,-121.7603159,2023-10-11,obsr420881,5.0,PASSERIFORMES,2023
Mountain Plover,38.915808,-121.843472,2024-01-01,obsr285188,4.0,CHARADRIIFORMES,2024
Winter Wren,38.5164914,-122.0607769,2024-01-01,obsr318705,5.0,PASSERIFORMES,2024
Orchard Oriole,38.5309118,-121.7603159,2024-01-01,obsr2724102,5.0,PASSERIFORMES,2024
Lawrence's Goldfinch,38.6615862,-121.6128512,2024-01-04,obsr318705,4.0,PASSERIFORMES,2024
Yellow-bellied Sapsucker,38.8227785,-122.1908782,2024-01-04,obsr1175781,4.0,PICIFORMES,2024
Costa's Hummingbird,38.5681174,-121.7259727,2024-01-05,obsr333873,4.0,CAPRIMULGIFORMES,2024
Evening Grosbeak,38.8227785,-122.1908782,2024-01-07,obsr1175781,4.0,PASSERIFORMES,2024
Horned Grebe,38.662877,-121.718807,2024-01-09,obsr270938,4.0,PODICIPEDIFORMES,2024
Chestnut-backed Chickadee,38.8080118,-122.2295952,2024-01-18,obsr355294,4.0,PASSERIFORMES,2024
Plumbeous Vireo,38.559456,-121.7465428,2024-02-03,obsr3059200,4.0,PASSERIFORMES,2024
Lesser Black-backed Gull,38.5973164,-121.696584,2024-02-05,obsr865872,4.0,CHARADRIIFORMES,2024
Red-throated Loon,38.5416454,-121.578548,2024-02-16,obsr355294,5.0,GAVIIFORMES,2024
Steller's Jay,38.5148499,-122.0782516,2024-02-17,obsr318705,4.0,PASSERIFORMES,2024
Swamp Sparrow,38.514056,-121.975165,2024-02-25,obsr794894,4.0,PASSERIFORMES,2024
Allen's Hummingbird,38.3776439,-121.6026565,2024-03-08,obsr1846910,4.0,CAPRIMULGIFORMES,2024
